PROTOCOL 1,,,,,,,,
"Info: Air 0.5-1 L/min, humidifier, outlet flow 0.1-0.3 L/min, n = 3 flies per well, 4-5 days old",,,,,,,,
"Protocol: 35 min baseline, 20 minute GA with 3 motor pulses, 65 minutes recovery with an initial 6 motor pulses, 120 minute total",,,,,,,,
"Pulses: (1s on, 5s off) x 5, seperated by 5 minutes",,,,,,,,
,,,,,,,,
SESSION,GA,GENOTYPE,N,EXPERIMENTER,NOTES,,Genotype,Numeric code
2021-07-21-18-01-27,Sevo 5%,Phinney Ridge,18,JK+SD,,,,
2021-07-24-15-42-12,Sevo 6%,Phinney Ridge,18,JK+RY,,,,
2021-07-22-10-35-32,Sevo 7%,Phinney Ridge,18,SD,,,,
2021-07-24-17-46-54,Sevo 8%,Phinney Ridge,18,JK+RY,,,,
2021-07-22-19-20-25,0%,Top Banana,18,JK,,,,
2021-08-13-11-11-37,0%,Top Banana,18,JK,Loaded flies 100 minutes early and placed in incubator,,,
2021-09-14-13-02-20,0%,Top Banana,18,JK,,,,
2021-08-09-09-37-48,Sevo 0.5%,Top Banana,17,SD,,,,
2021-09-16-10-31-06,Sevo 0.5%,Top Banana,18,JK,,,,
2021-09-16-12-36-59,Sevo 0.5%,Top Banana,18,JK,Inlet popped out,,,
2021-07-20-15-28-27,Sevo 1%,Top Banana,18,JK+SD,,,,
2021-08-13-09-04-53,Sevo 1%,Top Banana,18,JK,,,,
2021-09-13-12-28-46,Sevo 1%,Top Banana,18,RY,,,,
2021-08-09-14-45-21,Sevo 1.5%,Top Banana,18,SD,One fly with shriveled wing,,,
2021-09-13-14-31-16,Sevo 1.5%,Top Banana,18,RY,,,,
2021-09-15-11-36-50,Sevo 1.5%,Top Banana,18,JK,,,,
2021-07-31-11-12-10,Sevo 2%,Top Banana,18,RY,,,,
2021-09-13-16-40-46,Sevo 2%,Top Banana,18,RY,,,,
2021-09-14-15-50-14,Sevo 2%,Top Banana,18,JK,"Wells 1-4 are 4 days old, Wells 5 and 6 are 5 days old",,,
2021-07-21-15-41-16,Sevo 3%,Top Banana,18,JK+SD,,,,
2021-07-31-13-28-49,Sevo 4%,Top Banana,18,RY,Turned off sevoflurane at 3370 instead of 3270,,,
2021-07-20-13-22-53,Sevo 5%,Top Banana,18,JK,,,,
2021-08-13-13-22-44,Sevo 6%,Top Banana,18,SD,,,,
2021-08-13-15-59-09,Sevo 7%,Top Banana,18,SD,,,,
2021-08-13-18-03-39,Sevo 8%,Top Banana,18,SD,,,,
2021-08-23-16-51-53,0%,SS02255 6x,18,JK,,,,
2021-08-25-12-35-35,0%,SS02255 6x,18,JK,,,,
,0%,SS02255 6x,,,,,,
2021-08-23-10-18-52,Sevo 0.5%,SS02255 6x,18,JK + RY,,,,
,Sevo 0.5%,SS02255 6x,,,,,,
,Sevo 0.5%,SS02255 6x,,,,,,
2021-08-23-12-34-19,Sevo 1%,SS02255 6x,18,RY,,,,
2021-08-25-16-22-31,Sevo 1%,SS02255 6x,18,JK,,,,
,Sevo 1%,SS02255 6x,,,,,,
2021-08-23-14-47-12,Sevo 1.5%,SS02255 6x,18,RY,,,,
,Sevo 1.5%,SS02255 6x,,,,,,
,Sevo 1.5%,SS02255 6x,,,,,,
2021-08-24-11-47-38,Sevo 2%,SS02255 6x,18,RY,"11:45 am - 1:45 pm, 8/24",,,
,Sevo 2%,SS02255 6x,,,,,,
,Sevo 2%,SS02255 6x,,,,,,
2021-08-24-14-06-33,Sevo 3%,SS02255 6x,18,RY,,,,
2021-08-22-18-10-35,0%,TChrimson 6x,18,JK,,,,
2021-08-24-16-09-54,0%,TChrimson 6x,18,RY,,,,
,0%,TChrimson 6x,,,,,,
2021-08-22-16-05-17,Sevo 0.5%,TChrimson 6x,18,JK,,,,
,Sevo 0.5%,TChrimson 6x,,,,,,
,Sevo 0.5%,TChrimson 6x,,,,,,
2021-08-22-11-48-09,Sevo 1%,TChrimson 6x,18,JK,0.2 Sevo for <10 seconds at start,,,
,Sevo 1%,TChrimson 6x,,,,,,
